,frame
0,Game Over
1,Congratulations you won!
2,LEVEL01PLAYER221010BULLET-1-101ENEMY_WEAK060602061002061402ENEMY_STRONG030604031004031404ENEMY_UFO-1-105BOMB-1-102
3,LEVEL01PLAYER221010BULLET-1-101ENEMY_WEAK060602061002061402ENEMY_STRONG030604031004031404ENEMY_UFO001605BOMB-1-102
4,LEVEL01PLAYER220910BULLET-1-101ENEMY_WEAK060602061002061402ENEMY_STRONG030604031004031404ENEMY_UFO001605BOMB-1-102
5,LEVEL01PLAYER220910BULLET-1-101ENEMY_WEAK060602061002061402ENEMY_STRONG030604031004031404ENEMY_UFO001505BOMB-1-102
6,LEVEL01PLAYER221010BULLET-1-101ENEMY_WEAK060602061002061402ENEMY_STRONG030604031004031404ENEMY_UFO001505BOMB-1-102
7,LEVEL01PLAYER220910BULLET-1-101ENEMY_WEAK060702061102061502ENEMY_STRONG030704031104031504ENEMY_UFO001605BOMB-1-102
8,LEVEL01PLAYER221010BULLET-1-101ENEMY_WEAK060702061102061502ENEMY_STRONG030704031104031504ENEMY_UFO001605BOMB-1-102
9,LEVEL01PLAYER220910BULLET-1-101ENEMY_WEAK060702061102061502ENEMY_STRONG030704031104031504ENEMY_UFO001605BOMB031902
10,LEVEL01PLAYER220910BULLET-1-101ENEMY_WEAK060702061102061502ENEMY_STRONG030704031104031504ENEMY_UFO001605BOMB041902
11,LEVEL01PLAYER220810BULLET-1-101ENEMY_WEAK060702061102061502ENEMY_STRONG030704031104031504ENEMY_UFO001605BOMB041902
12,LEVEL01PLAYER220810BULLET-1-101ENEMY_WEAK060702061102061502ENEMY_STRONG030704031104031504ENEMY_UFO001605BOMB051902
13,LEVEL01PLAYER220810BULLET-1-101ENEMY_WEAK060702061102061502ENEMY_STRONG030704031104031504ENEMY_UFO001705BOMB051902
14,LEVEL01PLAYER220810BULLET-1-101ENEMY_WEAK060702061102061502ENEMY_STRONG030704031104031504ENEMY_UFO001705BOMB061902
15,LEVEL01PLAYER220810BULLET211001ENEMY_WEAK060702061102061502ENEMY_STRONG030704031104031504ENEMY_UFO001705BOMB071902
16,LEVEL01PLAYER220810BULLET211001ENEMY_WEAK060802061202061602ENEMY_STRONG030804031204031604ENEMY_UFO001605BOMB071902
17,LEVEL01PLAYER220810BULLET201001ENEMY_WEAK060802061202061602ENEMY_STRONG030804031204031604ENEMY_UFO001605BOMB071902
18,LEVEL01PLAYER220810BULLET201001ENEMY_WEAK060802061202061602ENEMY_STRONG030804031204031604ENEMY_UFO001605BOMB081902
19,LEVEL01PLAYER220810BULLET191001ENEMY_WEAK060802061202061602ENEMY_STRONG030804031204031604ENEMY_UFO001605BOMB081902
20,LEVEL01PLAYER220810BULLET191001ENEMY_WEAK060802061202061602ENEMY_STRONG030804031204031604ENEMY_UFO001605BOMB091902
21,LEVEL01PLAYER220810BULLET181001ENEMY_WEAK060802061202061602ENEMY_STRONG030804031204031604ENEMY_UFO001605BOMB091902
22,LEVEL01PLAYER220810BULLET181001ENEMY_WEAK060802061202061602ENEMY_STRONG030804031204031604ENEMY_UFO001505BOMB091902
23,LEVEL01PLAYER220910BULLET181001ENEMY_WEAK060802061202061602ENEMY_STRONG030804031204031604ENEMY_UFO001505BOMB091902
24,LEVEL01PLAYER220910BULLET171001ENEMY_WEAK060802061202061602ENEMY_STRONG030804031204031604ENEMY_UFO001505BOMB091902
25,LEVEL01PLAYER220910BULLET171001ENEMY_WEAK060802061202061602ENEMY_STRONG030804031204031604ENEMY_UFO001505BOMB101902
26,LEVEL01PLAYER220910BULLET161001ENEMY_WEAK060802061202061602ENEMY_STRONG030804031204031604ENEMY_UFO001505BOMB101902
27,LEVEL01PLAYER220910BULLET161001ENEMY_WEAK060802061202061602ENEMY_STRONG030804031204031604ENEMY_UFO001505BOMB111902
28,LEVEL01PLAYER221010BULLET161001ENEMY_WEAK060802061202061602ENEMY_STRONG030804031204031604ENEMY_UFO001505BOMB111902
29,LEVEL01PLAYER221010BULLET151001ENEMY_WEAK060802061202061602ENEMY_STRONG030804031204031604ENEMY_UFO001505BOMB111902
30,LEVEL01PLAYER221010BULLET151001ENEMY_WEAK060802061202061602ENEMY_STRONG030804031204031604ENEMY_UFO001405BOMB111902
31,LEVEL01PLAYER221010BULLET151001ENEMY_WEAK060802061202061602ENEMY_STRONG030804031204031604ENEMY_UFO001405BOMB121902
32,LEVEL01PLAYER221010BULLET141001ENEMY_WEAK060802061202061602ENEMY_STRONG030804031204031604ENEMY_UFO001405BOMB121902
33,LEVEL01PLAYER221010BULLET131001ENEMY_WEAK060802061202061602ENEMY_STRONG030804031204031604ENEMY_UFO001405BOMB121902
34,LEVEL01PLAYER221010BULLET131001ENEMY_WEAK060802061202061602ENEMY_STRONG030804031204031604ENEMY_UFO001405BOMB131902
35,LEVEL01PLAYER221010BULLET121001ENEMY_WEAK060802061202061602ENEMY_STRONG030804031204031604ENEMY_UFO001405BOMB131902
36,LEVEL01PLAYER221010BULLET121001ENEMY_WEAK060902061302061702ENEMY_STRONG030904031304031704ENEMY_UFO001505BOMB131902
37,LEVEL01PLAYER221010BULLET121001ENEMY_WEAK060902061302061702ENEMY_STRONG030904031304031704ENEMY_UFO001505BOMB141902
38,LEVEL01PLAYER221010BULLET111001ENEMY_WEAK060902061302061702ENEMY_STRONG030904031304031704ENEMY_UFO001505BOMB141902
39,LEVEL01PLAYER221010BULLET111001ENEMY_WEAK060902061302061702ENEMY_STRONG030904031304031704ENEMY_UFO001505BOMB151902
40,LEVEL01PLAYER221010BULLET101001ENEMY_WEAK060902061302061702ENEMY_STRONG030904031304031704ENEMY_UFO001505BOMB151902
41,LEVEL01PLAYER220910BULLET101001ENEMY_WEAK060902061302061702ENEMY_STRONG030904031304031704ENEMY_UFO001505BOMB151902
42,LEVEL01PLAYER220910BULLET091001ENEMY_WEAK060902061302061702ENEMY_STRONG030904031304031704ENEMY_UFO001405BOMB151902
43,LEVEL01PLAYER220910BULLET091001ENEMY_WEAK060902061302061702ENEMY_STRONG030904031304031704ENEMY_UFO001405BOMB161902
44,LEVEL01PLAYER221010BULLET081001ENEMY_WEAK060902061302061702ENEMY_STRONG030904031304031704ENEMY_UFO001405BOMB161902
45,LEVEL01PLAYER221010BULLET-1-101ENEMY_WEAK060901061302061702ENEMY_STRONG030904031304031704ENEMY_UFO001405BOMB161902
46,LEVEL01PLAYER221010BULLET-1-101ENEMY_WEAK060901061302061702ENEMY_STRONG030904031304031704ENEMY_UFO001405BOMB171902
47,LEVEL01PLAYER221010BULLET-1-101ENEMY_WEAK060901061302061702ENEMY_STRONG030904031304031704ENEMY_UFO001405BOMB181902
48,LEVEL01PLAYER221010BULLET-1-101ENEMY_WEAK060901061302061702ENEMY_STRONG030904031304031704ENEMY_UFO001405BOMB191902
49,LEVEL01PLAYER220910BULLET-1-101ENEMY_WEAK060901061302061702ENEMY_STRONG030904031304031704ENEMY_UFO001405BOMB191902
50,LEVEL01PLAYER220910BULLET-1-101ENEMY_WEAK060901061302061702ENEMY_STRONG030904031304031704ENEMY_UFO001405BOMB201902
51,LEVEL01PLAYER220910BULLET-1-101ENEMY_WEAK061001061402061802ENEMY_STRONG031004031404031804ENEMY_UFO001405BOMB201902
52,LEVEL01PLAYER220910BULLET211101ENEMY_WEAK061001061402061802ENEMY_STRONG031004031404031804ENEMY_UFO001405BOMB201902
53,LEVEL01PLAYER220910BULLET211101ENEMY_WEAK061001061402061802ENEMY_STRONG031004031404031804ENEMY_UFO001405BOMB211902
54,LEVEL01PLAYER220910BULLET201101ENEMY_WEAK061001061402061802ENEMY_STRONG031004031404031804ENEMY_UFO001405BOMB211902
55,LEVEL01PLAYER220910BULLET191101ENEMY_WEAK061001061402061802ENEMY_STRONG031004031404031804ENEMY_UFO001405BOMB221902
56,LEVEL01PLAYER220810BULLET191101ENEMY_WEAK061001061402061802ENEMY_STRONG031004031404031804ENEMY_UFO001405BOMB221902
57,LEVEL01PLAYER220810BULLET191101ENEMY_WEAK061001061402061802ENEMY_STRONG031004031404031804ENEMY_UFO001305BOMB221902
58,LEVEL01PLAYER220810BULLET181101ENEMY_WEAK061001061402061802ENEMY_STRONG031004031404031804ENEMY_UFO001305BOMB221902
59,LEVEL01PLAYER220810BULLET181101ENEMY_WEAK061001061402061802ENEMY_STRONG031004031404031804ENEMY_UFO001305BOMB-1-102
60,LEVEL01PLAYER220810BULLET171101ENEMY_WEAK061001061402061802ENEMY_STRONG031004031404031804ENEMY_UFO001305BOMB-1-102
61,LEVEL01PLAYER220810BULLET161101ENEMY_WEAK061001061402061802ENEMY_STRONG031004031404031804ENEMY_UFO001305BOMB-1-102
62,LEVEL01PLAYER220810BULLET161101ENEMY_WEAK061001061402061802ENEMY_STRONG031004031404031804ENEMY_UFO001305BOMB031602
63,LEVEL01PLAYER220710BULLET161101ENEMY_WEAK061001061402061802ENEMY_STRONG031004031404031804ENEMY_UFO001305BOMB031602
64,LEVEL01PLAYER220710BULLET151101ENEMY_WEAK061001061402061802ENEMY_STRONG031004031404031804ENEMY_UFO001305BOMB031602
65,LEVEL01PLAYER220710BULLET151101ENEMY_WEAK061001061402061802ENEMY_STRONG031004031404031804ENEMY_UFO001305BOMB041602
66,LEVEL01PLAYER220710BULLET141101ENEMY_WEAK061001061402061802ENEMY_STRONG031004031404031804ENEMY_UFO001305BOMB041602
67,LEVEL01PLAYER220710BULLET141101ENEMY_WEAK061001061402061802ENEMY_STRONG031004031404031804ENEMY_UFO001305BOMB051602
68,LEVEL01PLAYER220710BULLET131101ENEMY_WEAK061101061502061902ENEMY_STRONG031104031504031904ENEMY_UFO001305BOMB051602
69,LEVEL01PLAYER220710BULLET121101ENEMY_WEAK061101061502061902ENEMY_STRONG031104031504031904ENEMY_UFO001305BOMB061602
70,LEVEL01PLAYER220610BULLET121101ENEMY_WEAK061101061502061902ENEMY_STRONG031104031504031904ENEMY_UFO001305BOMB061602
71,LEVEL01PLAYER220610BULLET111101ENEMY_WEAK061101061502061902ENEMY_STRONG031104031504031904ENEMY_UFO001305BOMB061602
